mode,sample_idx,n_obs,obs_species,eval_species,nrmse,in_obs
one-step,199,3,"A,B,M",D,0.02073359489440918,False
one-step,199,3,"A,B,M",E,0.030574824661016464,False
one-step,199,3,"A,B,M",F,0.05433275178074837,False
one-step,199,3,"A,B,M",G,0.023677192628383636,False
one-step,199,3,"A,B,M",H,0.021445108577609062,False
one-step,199,3,"A,B,M",I,0.061611104756593704,False
one-step,199,3,"A,B,M",J,0.040027011185884476,False
one-step,199,3,"A,B,M",K,0.07292789965867996,False
one-step,199,3,"A,B,M",L,0.048160724341869354,False
one-step,199,3,"A,B,M",M,8.00197454964291e-08,True
one-step,199,4,"A,B,C,M",A,0.0001036676112562418,True
one-step,199,4,"A,B,C,M",B,0.00012103587505407631,True
one-step,199,4,"A,B,C,M",C,2.7229156330577098e-05,True
one-step,199,4,"A,B,C,M",D,0.0212623979896307,False
one-step,199,4,"A,B,C,M",E,0.03021295741200447,False
one-step,199,4,"A,B,C,M",F,0.05518103018403053,False
one-step,199,4,"A,B,C,M",G,0.02372288703918457,False
one-step,199,4,"A,B,C,M",H,0.02143457904458046,False
one-step,199,4,"A,B,C,M",I,0.061461564153432846,False
one-step,199,4,"A,B,C,M",J,0.03997308015823364,False
one-step,199,4,"A,B,C,M",K,0.0729634240269661,False
one-step,199,4,"A,B,C,M",L,0.048195693641901016,False
one-step,199,4,"A,B,C,M",M,7.579259175827247e-08,True
one-step,199,5,"A,B,C,D,M",A,7.033188012428582e-05,True
one-step,199,5,"A,B,C,D,M",B,0.00016834393318276852,True
one-step,199,5,"A,B,C,D,M",C,3.241211743443273e-05,True
one-step,199,5,"A,B,C,D,M",D,4.7847464884398505e-05,True
one-step,199,5,"A,B,C,D,M",E,0.02675839699804783,False
one-step,199,5,"A,B,C,D,M",F,0.055009424686431885,False
one-step,199,5,"A,B,C,D,M",G,0.023712661117315292,False
one-step,199,5,"A,B,C,D,M",H,0.021428270265460014,False
one-step,199,5,"A,B,C,D,M",I,0.06135706603527069,False
one-step,199,5,"A,B,C,D,M",J,0.03993992879986763,False
one-step,199,5,"A,B,C,D,M",K,0.0730026364326477,False
one-step,199,5,"A,B,C,D,M",L,0.048229996114969254,False
one-step,199,5,"A,B,C,D,M",M,8.08332174528914e-08,True
one-step,199,6,"A,B,C,D,E,M",A,6.896004197187722e-05,True
one-step,199,6,"A,B,C,D,E,M",B,0.0001642613933654502,True
one-step,199,6,"A,B,C,D,E,M",C,0.00010210627078777179,True
one-step,199,6,"A,B,C,D,E,M",D,0.0003690463490784168,True
one-step,199,6,"A,B,C,D,E,M",E,0.00010827166261151433,True
one-step,199,6,"A,B,C,D,E,M",F,0.034113768488168716,False
one-step,199,6,"A,B,C,D,E,M",G,0.020925015211105347,False
one-step,199,6,"A,B,C,D,E,M",H,0.022431541234254837,False
one-step,199,6,"A,B,C,D,E,M",I,0.061369944363832474,False
one-step,199,6,"A,B,C,D,E,M",J,0.03990833833813667,False
one-step,199,6,"A,B,C,D,E,M",K,0.07304384559392929,False
one-step,199,6,"A,B,C,D,E,M",L,0.04826383665204048,False
one-step,199,6,"A,B,C,D,E,M",M,7.574534777177178e-08,True
one-step,199,7,"A,B,C,D,E,F,M",A,6.51926311547868e-05,True
one-step,199,7,"A,B,C,D,E,F,M",B,0.00015176400484051555,True
