sample_idx,os_mm,ro_mm,os_pm,ro_pm
243,0.009468,0.017921,0.015450,1.334228
244,0.009126,0.022597,0.022458,2.655807
245,0.008760,0.014886,0.015317,2.649721
246,0.008365,0.013593,0.044826,12.239125
247,0.011708,0.013129,0.042874,9.346678
248,0.009918,0.011406,0.042986,8.822170
249,0.008193,0.006431,0.038946,5.133627
250,0.008396,0.012097,0.039694,8.422872
251,0.013504,0.009918,0.045564,6.459967
252,0.028676,0.018665,0.046237,5.437900
253,0.029575,0.022001,0.040186,4.820105
254,0.021060,0.011594,0.006103,0.408474
255,0.021536,0.014399,0.009135,0.664036
256,0.008549,0.011743,0.045170,8.466754
257,0.008435,0.008728,0.048222,8.317504
258,0.008899,0.010667,0.043453,6.084279
259,0.014550,0.006905,0.003923,0.114803
260,0.012388,0.006040,0.003824,0.181374
261,0.011662,0.010801,0.041212,7.107311
262,0.014809,0.022754,0.046816,6.756499
263,0.007347,0.004386,0.040682,8.023993
264,0.007794,0.005189,0.022355,4.049935
265,0.033449,0.020182,0.004174,0.095479
266,0.031215,0.015704,0.004157,0.099968
267,0.009309,0.008456,0.018350,3.156188
268,0.009553,0.011800,0.021721,3.619384
269,0.006964,0.005664,0.040694,6.836282
270,0.007004,0.006350,0.042908,8.828307
271,0.008502,0.004595,0.040092,7.248944
272,0.009413,0.007334,0.040926,5.459028
273,0.011613,0.020573,0.038876,9.962487
274,0.015392,0.009653,0.003630,0.036818
275,0.008271,0.014098,0.038933,11.145649
276,0.007146,0.005203,0.041605,8.267874
277,0.008435,0.004643,0.039053,7.190176
278,0.038327,0.023559,0.005091,0.097190
279,0.029591,0.020589,0.007983,0.390185
280,0.015327,0.008109,0.004162,0.101979
281,0.009744,0.010949,0.034008,5.017825
282,0.007212,0.006572,0.040391,7.999404
283,0.024038,0.013514,0.003067,0.040211
284,0.025601,0.015056,0.003080,0.035703
285,0.028145,0.014697,0.013977,1.655422
286,0.022419,0.009701,0.020953,2.839828
287,0.006993,0.003443,0.018917,3.508613
288,0.012908,0.006347,0.052812,4.363903
289,0.006724,0.001941,0.041774,16.494917
290,0.021128,0.011232,0.022739,2.359072
291,0.028832,0.016871,0.019385,1.223922
292,0.020742,0.015215,0.037154,6.108319
293,0.024712,0.011566,0.022679,1.872137
294,0.017242,0.009814,0.013422,0.430318
295,0.029597,0.015221,0.040183,9.378166
296,0.032001,0.022054,0.006211,0.156222
297,0.021674,0.020197,0.003792,0.015707
298,0.018917,0.010988,0.075308,8.280324
299,0.028875,0.017796,0.006062,0.112709
300,0.028941,0.016979,0.028362,3.483982
301,0.007837,0.006890,0.042984,15.100904
302,0.032821,0.021692,0.008936,0.255057
303,0.028065,0.010727,0.009535,0.234712
304,0.030792,0.017611,0.035009,4.406972
305,0.027467,0.013901,0.024805,2.848614
306,0.029828,0.018110,0.058673,6.333474
307,0.009230,0.003443,0.009285,0.384367
308,0.021582,0.014744,0.043976,11.670339
309,0.007131,0.002833,0.016375,1.241280
310,0.038104,0.025266,0.053623,6.924040
311,0.026293,0.017692,0.007173,0.255584
312,0.015291,0.010393,0.007656,0.213613
313,0.021567,0.013365,0.005564,0.054515
314,0.012968,0.007380,0.054924,11.156589
315,0.035409,0.022544,0.004389,0.121626
316,0.021577,0.011372,0.006302,0.039592
317,0.026738,0.023530,0.006325,0.129898
318,0.008609,0.006752,0.024658,3.446692
319,0.017097,0.008121,0.019951,1.969531
320,0.014685,0.010045,0.008487,0.355544
321,0.062375,0.046762,0.008726,0.314756
322,0.006942,0.002451,0.004431,0.058553
323,0.018034,0.009657,0.058793,6.459001
324,0.008114,0.009026,0.053012,8.572861
325,0.017140,0.009840,0.010631,0.527446
326,0.038703,0.019689,0.007452,0.132981
327,0.052554,0.033709,0.007956,0.122970
328,0.020343,0.009029,0.010470,0.316070
329,0.006673,0.002531,0.059186,8.516124
330,0.051411,0.027165,0.049953,6.104221
331,0.009321,0.003677,0.056983,9.259968
332,0.006270,0.001695,0.004073,0.124512
333,0.059583,0.044383,0.014547,1.184762
334,0.006334,0.002555,0.014770,1.165044
335,0.025872,0.016732,0.003399,0.084615
336,0.036953,0.016500,nan,nan
337,0.016242,0.008347,0.007248,0.115142
338,0.023615,0.011657,0.045993,18.775927
339,0.017508,0.007220,0.008095,0.130815
340,0.012022,0.005557,nan,nan
341,0.010778,0.005133,nan,nan
342,0.013616,0.007002,nan,nan
343,0.020199,0.009211,0.005656,0.079574
344,0.023942,0.012164,nan,nan
345,0.021871,0.010226,0.036551,14.695916
346,0.017183,0.008651,0.014163,0.568615
347,0.019410,0.008968,0.009553,0.238966
348,0.008012,0.003868,0.012502,0.538900
349,0.043398,0.032458,nan,nan
350,0.044044,0.025868,nan,nan
351,0.054656,0.041576,nan,nan
352,0.053662,0.029849,nan,nan
353,0.021924,0.010183,0.090280,14.125439
354,0.028455,0.017612,0.004489,0.037450
355,0.021246,0.012029,0.002847,0.341180
356,0.071935,0.048085,0.086164,4.337319
357,0.028670,0.017523,0.028960,0.702767
358,0.020067,0.008607,0.006403,0.151241
359,0.007763,0.002292,0.006606,0.609910
