scaffold,P,sample_idx,species,nrmse
reduced2,2,426,M,0.31855674244074367
reduced2,2,660,A,0.0437364977866943
reduced2,2,660,M,0.18407171231117936
reduced2,2,995,A,0.039049153305728536
reduced2,2,995,M,0.0644011679977977
reduced2,2,36,A,0.05548034056891588
reduced2,2,36,M,0.11944533623847277
reduced2,2,545,A,0.05637932092514638
reduced2,2,545,M,0.2422012689559645
reduced2,2,116,A,0.0570131960741246
reduced2,2,116,M,0.2210375269725915
reduced2,2,434,A,0.055484829596623333
reduced2,2,434,M,0.07745522078518854
reduced2,2,390,A,0.05526382450529334
reduced2,2,390,M,0.05956894910261939
reduced2,2,751,A,0.053390834070762776
reduced2,2,751,M,0.2879536367395803
reduced3,3,978,A,0.051071207448153425
reduced3,3,978,M,0.0728053128955086
reduced3,3,933,A,0.04893274970733075
reduced3,3,933,M,0.11343443109799962
reduced3,3,859,A,0.061486236496141454
reduced3,3,859,M,0.17582766182121695
reduced3,3,916,A,0.0
reduced3,3,916,M,1.1725965110391219
reduced3,3,127,A,0.06939970925945789
reduced3,3,127,M,0.1243884569388156
reduced3,3,608,A,0.05247764882218836
reduced3,3,608,M,0.09758522835558063
reduced3,3,856,A,0.03579168381400073
reduced3,3,856,M,0.15656274228880096
reduced3,3,260,A,0.04761197524384312
reduced3,3,260,M,0.17867500036016645
reduced3,3,147,A,0.02739927449625119
reduced3,3,147,M,0.17277715228422427
reduced3,3,810,A,0.04851711657457228
reduced3,3,810,M,0.18380651543601217
reduced3,3,635,A,0.04651176918646539
reduced3,3,635,M,0.13469245567550236
reduced3,3,972,A,0.03954590534761692
reduced3,3,972,M,0.06523809412827004
reduced3,3,593,A,0.04019229804046296
reduced3,3,593,M,0.0868480094333653
reduced3,3,994,A,0.042587967381468535
reduced3,3,994,M,0.07700594100416865
reduced3,3,285,A,0.032302932670855454
reduced3,3,285,M,0.06966662240110783
reduced3,3,554,A,0.07777181389376785
reduced3,3,554,M,0.10920530813585011
reduced3,3,467,A,0.05691364316131017
reduced3,3,467,M,0.0719216676947228
reduced3,3,276,A,0.02379857803279454
reduced3,3,276,M,0.12791713694551518
reduced3,3,55,A,0.04255623788318784
reduced3,3,55,M,0.4932741732889933
reduced3,3,61,A,0.02928847224488037
reduced3,3,61,M,0.12267906155160284
reduced3,3,839,A,0.0486107466388757
reduced3,3,839,M,0.08219429799744574
reduced3,3,425,A,0.04251575416699459
reduced3,3,425,M,0.09655371615769415
reduced3,3,82,A,0.043464314471915455
reduced3,3,82,M,0.11080833690027403
reduced3,3,620,A,0.024848404973812393
reduced3,3,620,M,0.26664161411244086
reduced3,3,787,A,0.03404141521218648
reduced3,3,787,M,0.10591648333520921
reduced3,3,2,A,0.03932852868112719
reduced3,3,2,M,0.09918645725628934
reduced3,3,753,A,0.032339771406866495
reduced3,3,753,M,0.11202608815081258
reduced3,3,7,A,0.04582895167224654
reduced3,3,7,M,0.05477672140395084
reduced3,3,903,A,0.03503193592011294
reduced3,3,903,M,0.054813878982221224
reduced3,3,626,A,0.03682545062301497
reduced3,3,626,M,0.2604400434626147
reduced3,3,51,A,0.0
reduced3,3,51,M,0.37980476536789287
reduced3,3,557,A,0.07089720595286977
reduced3,3,557,M,0.1048219193275937
reduced3,3,310,A,0.03537920596763206
reduced3,3,310,M,0.09146229195894423
reduced3,3,100,A,0.04458586280806427
reduced3,3,100,M,0.32624413077009967
reduced3,3,848,A,0.022127794114044336
reduced3,3,848,M,0.22413158695122615
reduced3,3,921,A,0.023549159543624083
reduced3,3,921,M,0.10709453452510921
reduced3,3,45,A,0.06365374741671077
reduced3,3,45,M,0.04442855009467588
reduced3,3,976,A,0.049716899801281036
reduced3,3,976,M,0.1028564180128618
reduced3,3,136,A,0.040778780839168104
reduced3,3,136,M,0.24199508365205652
reduced3,3,128,A,0.034654353997146385
reduced3,3,128,M,0.8621124489874923
reduced3,3,605,A,0.055968844846913446
reduced3,3,605,M,0.10115240395264524
reduced3,3,945,A,0.0
reduced3,3,945,M,0.5445283329934971
reduced3,3,773,A,0.046044061714448956
reduced3,3,773,M,0.20098936365765052
reduced3,3,941,A,0.06408213684444934
reduced3,3,941,M,0.10244320444067187
reduced3,3,613,A,0.021683696402432232
reduced3,3,613,M,0.28327986723608817
reduced3,3,98,A,0.05212755486116726
reduced3,3,98,M,0.16076802269556412
reduced3,3,758,A,0.028642164342522283
reduced3,3,758,M,0.06725472881415624
reduced3,3,595,A,0.05481194203994852
reduced3,3,595,M,0.05552916780570623
reduced3,3,470,A,0.055675722195200485
reduced3,3,470,M,0.06480894098837509
reduced3,3,25,A,0.0
reduced3,3,25,M,0.4962980279843899
reduced3,3,514,A,0.033697269073171054
reduced3,3,514,M,0.6802856360942694
reduced3,3,239,A,0.03534096930142134
reduced3,3,239,M,0.11830254930869855
reduced3,3,980,A,0.03677095084687573
reduced3,3,980,M,0.10293241645393467
reduced3,3,623,A,0.025710305457923233
reduced3,3,623,M,0.13428628410581372
reduced3,3,252,A,0.04999231841793796
reduced3,3,252,M,0.11824067639969624
reduced3,3,662,A,0.017410492372013014
reduced3,3,662,M,0.2335258629746047
reduced3,3,171,A,0.05648580761055041
reduced3,3,171,M,0.07469924941932216
reduced3,3,408,A,0.05465489676325836
reduced3,3,408,M,0.06252494324107072
reduced3,3,993,A,0.05534190872114056
reduced3,3,993,M,0.08527849270673572
reduced3,3,592,A,0.05976096065985015
reduced3,3,592,M,0.18368673941216235
reduced3,3,701,A,0.02968990622822323
reduced3,3,701,M,0.5741563899222734
reduced3,3,427,A,0.0599771189126919
reduced3,3,427,M,0.038610595444975096
reduced3,3,457,A,0.05919452057627805
reduced3,3,457,M,0.20364327206408137
reduced3,3,454,A,0.08440948672101128
reduced3,3,454,M,0.05517197022452658
reduced3,3,151,A,0.049674582581490545
reduced3,3,151,M,0.09037664446555455
reduced3,3,756,A,0.04050305400542866
reduced3,3,756,M,0.11071681375363697
reduced3,3,250,A,0.035421208304793776
reduced3,3,250,M,0.195987275247572
reduced3,3,904,A,0.03723122425992252
reduced3,3,904,M,0.4441732632316619
reduced3,3,324,A,0.04332135603864448
reduced3,3,324,M,0.07354907850088871
reduced3,3,439,A,0.052792777560145956
reduced3,3,439,M,0.0601675352482841
reduced3,3,650,A,0.045597935874998725
reduced3,3,650,M,0.12541016069306846
reduced3,3,238,A,0.04040984160773029
reduced3,3,238,M,0.16890718089030574
reduced3,3,498,A,0.049074915115130006
reduced3,3,498,M,0.06990153622260001
reduced3,3,806,A,0.047635178486818065
reduced3,3,806,M,0.14547199955025983
reduced3,3,629,A,0.06020050309533874
reduced3,3,629,M,0.14597739431207227
reduced3,3,468,A,0.05807372082387344
reduced3,3,468,M,0.24807406464767184
reduced3,3,343,A,0.027172840703426758
reduced3,3,343,M,0.4979269951084508
reduced3,3,664,A,0.04669494730956854
reduced3,3,664,M,0.11231952598531489
reduced3,3,671,A,0.047006565239903216
reduced3,3,671,M,0.32052319548281605
reduced3,3,652,A,0.03832009378275495
reduced3,3,652,M,0.1000007704745918
reduced3,3,346,A,0.025658116151404373
reduced3,3,346,M,0.07877951044903239
reduced3,3,381,A,0.04917063069717166
reduced3,3,381,M,0.05596151828087967
reduced3,3,493,A,0.05591122613075139
reduced3,3,493,M,0.04711534330178474
reduced3,3,708,A,0.05083286841842473
reduced3,3,708,M,0.10643039165587953
reduced3,3,513,A,0.03907822435266922
reduced3,3,513,M,0.13407454350934886
reduced3,3,563,A,0.044272293680439355
reduced3,3,563,M,0.17717618863984114
reduced3,3,857,A,0.04000710186551792
reduced3,3,857,M,0.14031026886434778
reduced3,3,781,A,0.05488189661875928
reduced3,3,781,M,0.12445994509293902
reduced3,3,135,A,0.06794548925823421
reduced3,3,135,M,0.07979629015727291
reduced3,3,232,A,0.06915958802539122
reduced3,3,232,M,0.09202265123064667
reduced3,3,931,A,0.05018366553157213
reduced3,3,931,M,0.08741590964698616
reduced3,3,426,A,0.03837707217912204
reduced3,3,426,M,0.344718552349198
