time,theta_0,theta_1
9.415692901611328125e+01,9.247712135314941406e+00,9.955057501792907715e-02
9.465776062011718750e+01,9.261870384216308594e+00,9.077506512403488159e-02
9.515859985351562500e+01,9.273125648498535156e+00,8.416288346052169800e-02
9.565943145751953125e+01,9.282072067260742188e+00,7.913484424352645874e-02
9.616027069091796875e+01,9.289189338684082031e+00,7.527257502079010010e-02
9.666110229492187500e+01,9.294857025146484375e+00,7.227708399295806885e-02
9.716193389892578125e+01,9.299374580383300781e+00,6.993273645639419556e-02
9.766277313232421875e+01,9.302976608276367188e+00,6.808295845985412598e-02
9.816360473632812500e+01,9.305850028991699219e+00,6.661400943994522095e-02
9.866444396972656250e+01,9.308136940002441406e+00,6.543926894664764404e-02
9.916527557373046875e+01,9.309956550598144531e+00,6.449536234140396118e-02
9.966610717773437500e+01,9.311397552490234375e+00,6.373314559459686279e-02
1.001669464111328125e+02,9.312533378601074219e+00,6.311458349227905273e-02
1.006677780151367188e+02,9.313426017761230469e+00,6.261117756366729736e-02
1.011686172485351562e+02,9.314119338989257812e+00,6.219946220517158508e-02
1.016694488525390625e+02,9.314654350280761719e+00,6.186176836490631104e-02
1.021702804565429688e+02,9.315060615539550781e+00,6.158355250954627991e-02
1.026711196899414062e+02,9.315365791320800781e+00,6.135366857051849365e-02
1.031719512939453125e+02,9.315590858459472656e+00,6.116322427988052368e-02
1.036727905273437500e+02,9.315748214721679688e+00,6.100472435355186462e-02
1.041736221313476562e+02,9.315857887268066406e+00,6.087241694331169128e-02
1.046744537353515625e+02,9.315923690795898438e+00,6.076157465577125549e-02
1.051752929687500000e+02,9.315960884094238281e+00,6.066847592592239380e-02
1.056761245727539062e+02,9.315972328186035156e+00,6.058992817997932434e-02
1.061769638061523438e+02,9.315966606140136719e+00,6.052340939640998840e-02
1.066777954101562500e+02,9.315944671630859375e+00,6.046687811613082886e-02
1.071786346435546875e+02,9.315914154052734375e+00,6.041847169399261475e-02
1.076794662475585938e+02,9.315877914428710938e+00,6.037722900509834290e-02
1.081802978515625000e+02,9.315836906433105469e+00,6.034184247255325317e-02
1.086811370849609375e+02,9.315792083740234375e+00,6.031140312552452087e-02
1.091819686889648438e+02,9.315747261047363281e+00,6.028503179550170898e-02
1.096828079223632812e+02,9.315701484680175781e+00,6.026208773255348206e-02
1.101836395263671875e+02,9.315655708312988281e+00,6.024215742945671082e-02
1.106844711303710938e+02,9.315613746643066406e+00,6.022485718131065369e-02
1.111853103637695312e+02,9.315569877624511719e+00,6.020976603031158447e-02
1.116861419677734375e+02,9.315529823303222656e+00,6.019655987620353699e-02
