sample_idx,os_mm,ro_mm,os_pm,ro_pm
451,0.057793,0.018795,0.720768,0.677276
452,nan,nan,0.720173,0.666660
453,nan,nan,0.748627,0.684215
454,0.183283,0.004442,0.743395,0.615184
455,nan,nan,0.699729,0.664196
456,0.192121,0.006524,0.704433,0.672624
457,nan,nan,0.616816,0.434626
458,0.221487,0.045764,0.674625,0.590054
459,nan,nan,0.701449,0.654721
460,nan,nan,0.734880,0.642471
461,0.173779,0.010105,0.701952,0.640125
462,0.360365,0.001738,0.716134,0.341471
463,nan,nan,0.720222,0.673364
464,nan,nan,0.726081,0.654798
465,nan,nan,0.686497,0.641957
466,0.095839,0.026393,0.696326,0.656553
467,0.123290,0.029065,0.743558,0.698572
468,nan,nan,0.805173,0.657625
469,nan,nan,0.811987,0.652525
470,nan,nan,0.819758,0.653724
471,nan,nan,0.807646,0.657397
472,nan,nan,0.803720,0.659299
473,nan,nan,0.805365,0.641465
474,0.200339,0.055605,0.664649,0.610516
475,0.214594,0.024272,0.667118,0.606425
476,0.336244,0.001874,0.616842,0.517329
477,0.340584,0.003710,0.611455,0.505818
478,0.355770,0.001950,0.622175,0.511373
479,0.359517,0.003142,0.622415,0.504173
480,0.366958,0.002207,0.628321,0.476471
481,0.361984,0.001985,0.624522,0.490021
482,0.373163,0.003932,0.628967,0.486974
483,nan,nan,0.761258,0.647313
484,0.070056,0.015878,0.749896,0.703389
485,0.068787,0.031173,0.748570,0.702742
486,0.057793,0.018950,0.748590,0.695465
487,0.057793,0.024849,0.749031,0.701920
488,0.081731,0.026273,0.747974,0.704915
489,0.057793,0.024826,0.739610,0.696187
490,0.138917,0.030136,0.728771,0.664572
491,0.358485,0.012787,0.044766,1.693526
492,0.323071,0.019811,0.634351,0.598186
493,0.355850,0.003704,0.704505,0.650638
494,0.468779,0.006491,0.063613,1.599061
495,0.674562,0.018403,0.638340,0.364108
496,0.520148,0.006619,0.063309,1.675131
497,0.444334,0.022214,0.574534,0.552203
498,0.583114,0.005589,0.630647,0.359014
499,0.617315,0.014289,0.074202,1.632182
500,0.261393,0.007216,0.598410,0.573207
501,0.670896,0.003728,0.644328,0.245505
502,0.569072,0.004593,0.109833,1.233355
503,0.351243,0.015316,0.573428,0.509308
504,0.364779,0.008553,0.586864,0.509717
505,0.323359,0.010752,0.523429,0.462037
506,0.317710,0.021558,0.646267,0.631225
507,0.505207,0.018142,0.675739,0.590157
508,0.296887,0.006843,0.686708,0.548565
509,0.530436,0.023901,0.638790,0.476219
510,0.547802,0.042601,0.663432,0.521960
511,0.346602,0.008802,0.672120,0.562858
512,0.322668,0.012186,0.063892,1.174862
513,0.449373,0.009486,0.747507,0.261594
514,0.291750,0.044020,0.775188,0.566880
515,0.117180,0.036549,0.810359,0.636734
516,0.095839,0.024932,0.804778,0.633845
517,0.231973,0.046301,0.766186,0.631320
518,0.095572,0.032151,0.727116,0.672456
519,0.113250,0.023714,0.747621,0.687566
520,0.119143,0.029685,0.697922,0.631911
521,nan,nan,0.723840,0.657963
522,0.112329,0.031822,0.720071,0.654725
523,0.202046,0.027434,0.714173,0.594651
524,0.171837,0.020284,0.720602,0.661326
525,0.107034,0.019924,0.706703,0.657346
526,0.099356,0.017996,0.723733,0.653052
527,0.195549,0.010294,0.714166,0.674732
528,nan,nan,0.667944,0.651665
529,0.207062,0.023763,0.673309,0.612632
530,0.126089,0.021313,0.704176,0.655384
531,0.193757,0.047122,0.726341,0.565658
532,0.115586,0.030448,0.723457,0.689589
533,0.279944,0.004162,0.736181,0.564011
534,0.193066,0.035908,0.720190,0.637042
535,0.110034,0.030557,0.756794,0.706768
536,nan,nan,0.720559,0.627360
537,0.274136,0.022076,0.714815,0.502287
538,0.140246,0.043351,0.772710,0.683177
539,0.630740,0.010806,0.601966,0.493493
540,0.334559,0.021176,0.690288,0.318250
541,0.221676,0.006976,0.669475,0.565636
542,0.218898,0.007366,0.685904,0.360447
543,0.297391,0.020342,0.680443,0.259684
544,0.296293,0.014811,0.688512,0.423426
545,0.323961,0.014955,0.726186,0.319895
546,0.300380,0.014149,0.726186,0.290031
547,0.368824,0.009428,0.530220,0.298894
548,0.362491,0.008504,0.568276,0.296472
549,0.646841,0.018520,nan,nan
550,0.393783,0.009462,0.125662,0.124671
551,0.298291,0.018092,0.678292,0.230334
552,0.315087,0.018418,0.587131,0.312633
553,0.318542,0.020442,0.624707,0.374291
554,0.317813,0.012742,0.581293,0.475000
555,0.456925,0.007058,0.280193,0.233930
556,0.493374,0.006123,0.393981,0.268551
557,0.710534,0.039453,0.076671,0.152011
558,0.449748,0.014057,0.299831,0.256792
559,0.701418,0.021536,nan,nan
560,0.757942,0.010199,0.352820,0.187362
561,0.636033,0.017211,0.679047,0.351042
562,0.236603,0.014673,0.742310,0.478315
563,0.316505,0.009199,0.734424,0.255336
564,0.639982,0.031732,nan,nan
565,0.791427,0.010945,0.235692,0.764620
566,0.437848,0.017976,0.610269,0.443698
567,0.338981,0.013035,0.651053,0.573073
