time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7
2.286432266235351562e+00,9.994599968194961548e-03,4.472245275974273682e-01,1.002858951687812805e-02,9.947410784661769867e-03,1.000519003719091415e-02,9.945442900061607361e-03,8.879772387444972992e-03,9.830334456637501717e-04
2.311557769775390625e+00,9.994780644774436951e-03,4.472242295742034912e-01,1.002827938646078110e-02,9.949839673936367035e-03,1.000501774251461029e-02,9.947297163307666779e-03,8.877748623490333557e-03,9.837283287197351456e-04
2.336683511734008789e+00,9.995128959417343140e-03,4.472235739231109619e-01,1.002774853259325027e-02,9.954391047358512878e-03,1.000468898564577103e-02,9.950684383511543274e-03,8.873270824551582336e-03,9.850839851424098015e-04
2.361809015274047852e+00,9.995162487030029297e-03,4.472234249114990234e-01,1.002769079059362411e-02,9.954875335097312927e-03,1.000465545803308487e-02,9.951059706509113312e-03,8.872090838849544525e-03,9.852164657786488533e-04
2.386934757232666016e+00,9.995371103286743164e-03,4.472230374813079834e-01,1.002737507224082947e-02,9.957600384950637817e-03,1.000445522367954254e-02,9.953076019883155823e-03,8.869235403835773468e-03,9.860350983217358589e-04
2.412060260772705078e+00,9.995553642511367798e-03,4.472226202487945557e-01,1.002711243927478790e-02,9.959989227354526520e-03,1.000429317355155945e-02,9.954842738807201385e-03,8.866394869983196259e-03,9.867561748251318932e-04
2.437186002731323242e+00,9.995604865252971649e-03,4.472226202487945557e-01,1.002703141421079636e-02,9.960672818124294281e-03,1.000424101948738098e-02,9.955350309610366821e-03,8.865324780344963074e-03,9.869628120213747025e-04
2.462311506271362305e+00,9.995876811444759369e-03,4.472219944000244141e-01,1.002666819840669632e-02,9.964216500520706177e-03,1.000399794429540634e-02,9.957927279174327850e-03,8.861376903951168060e-03,9.880773723125457764e-04
2.487437248229980469e+00,9.995876811444759369e-03,4.472219944000244141e-01,1.002664864063262939e-02,9.964230470359325409e-03,1.000399794429540634e-02,9.957936592400074005e-03,8.860849775373935699e-03,9.880670113489031792e-04
2.512562751770019531e+00,9.996091946959495544e-03,4.472215175628662109e-01,1.002637576311826706e-02,9.966991841793060303e-03,1.000379770994186401e-02,9.959954768419265747e-03,8.857956156134605408e-03,9.889655048027634621e-04
2.537688493728637695e+00,9.996148757636547089e-03,4.472214281558990479e-01,1.002629473805427551e-02,9.967757388949394226e-03,1.000375021249055862e-02,9.960510767996311188e-03,8.856742642819881439e-03,9.892159141600131989e-04
2.562813997268676758e+00,9.996248409152030945e-03,4.472212493419647217e-01,1.002616994082927704e-02,9.968969039618968964e-03,1.000365894287824631e-02,9.961385279893875122e-03,8.855252526700496674e-03,9.896135888993740082e-04
2.587939739227294922e+00,9.996377862989902496e-03,4.472210109233856201e-01,1.002600789070129395e-02,9.970699436962604523e-03,1.000354439020156860e-02,9.962639771401882172e-03,8.853589184582233429e-03,9.902021847665309906e-04
2.613065242767333984e+00,9.996396489441394806e-03,4.472210109233856201e-01,1.002598833292722702e-02,9.970789775252342224e-03,1.000353507697582245e-02,9.962705895304679871e-03,8.853162638843059540e-03,9.902267483994364738e-04
2.638190984725952148e+00,9.996578097343444824e-03,4.472205638885498047e-01,1.002578344196081161e-02,9.973024949431419373e-03,1.000337768346071243e-02,9.964325465261936188e-03,8.851364254951477051e-03,9.910161606967449188e-04
2.663316488265991211e+00,9.996578097343444824e-03,4.472205638885498047e-01,1.002576854079961777e-02,9.973038919270038605e-03,1.000337768346071243e-02,9.964345023036003113e-03,8.851060643792152405e-03,9.910108055919408798e-04
2.688442230224609375e+00,1.885550379753112793e+00,1.725890934467315674e-01,1.479464676231145859e-02,4.058454185724258423e-03,2.448231168091297150e-02,2.116618677973747253e-03,5.437935702502727509e-03,3.510916430968791246e-04
2.713567733764648438e+00,2.291966676712036133e+00,1.820698380470275879e-01,1.160502247512340546e-02,4.854291211813688278e-03,1.614978350698947906e-02,2.869561780244112015e-03,1.126041356474161148e-02,3.622923104558140039e-04
2.738693475723266602e+00,2.596957683563232422e+00,2.009226828813552856e-01,1.019953377544879913e-02,5.849384702742099762e-03,1.328177656978368759e-02,3.857762087136507034e-03,5.614576488733291626e-02,4.175846115685999393e-04
2.763818979263305664e+00,2.837706089019775391e+00,2.268374711275100708e-01,9.681085124611854553e-03,6.873496342450380325e-03,1.184660382568836212e-02,5.071394145488739014e-03,4.946063160896301270e-01,4.914646851830184460e-04
2.788944721221923828e+00,3.069781780242919922e+00,2.524892985820770264e-01,9.479678235948085785e-03,7.860450074076652527e-03,1.097582094371318817e-02,6.526564713567495346e-03,3.889583945274353027e-01,5.800915532745420933e-04
2.814070463180541992e+00,3.203201770782470703e+00,2.699847519397735596e-01,9.362822398543357849e-03,8.805613033473491669e-03,1.037584524601697922e-02,8.292917162179946899e-03,2.870850861072540283e-01,6.816216628067195415e-04
2.839195966720581055e+00,3.227136850357055664e+00,2.769170403480529785e-01,9.288069792091846466e-03,9.734543040394783020e-03,9.917511604726314545e-03,1.057052612304687500e-02,2.086000740528106689e-01,7.899581105448305607e-04
2.864321708679199219e+00,2.571490705013275146e-01,3.792409598827362061e-01,9.251659736037254333e-03,1.052523870021104813e-02,9.608880616724491119e-03,1.302958745509386063e-02,3.430641293525695801e-01,8.946068701334297657e-04
2.889447212219238281e+00,2.484096214175224304e-02,4.290726780891418457e-01,9.346353821456432343e-03,1.048821955919265747e-02,9.677647612988948822e-03,1.227986440062522888e-02,2.460552453994750977e-01,9.436194086447358131e-04
2.914572954177856445e+00,1.543924026191234589e-02,4.384913444519042969e-01,9.436804801225662231e-03,1.044194214046001434e-02,9.743584319949150085e-03,1.168438047170639038e-02,1.405017673969268799e-01,9.793764911592006683e-04
2.939698457717895508e+00,1.267855893820524216e-02,4.424259662628173828e-01,9.548617526888847351e-03,1.039846520870923996e-02,9.799707680940628052e-03,1.124402787536382675e-02,4.479653388261795044e-02,1.000093063339591026e-03
2.964824199676513672e+00,1.148217171430587769e-02,4.444178640842437744e-01,9.656540118157863617e-03,1.035812217742204666e-02,9.847242385149002075e-03,1.090892404317855835e-02,2.313499711453914642e-02,1.011740532703697681e-03
2.989949703216552734e+00,1.088254898786544800e-02,4.454998672008514404e-01,9.746976196765899658e-03,1.032187882810831070e-02,9.885986335575580597e-03,1.065693050622940063e-02,1.596377231180667877e-02,1.017724862322211266e-03
3.015075445175170898e+00,1.054651942104101181e-02,4.461340606212615967e-01,9.822204709053039551e-03,1.028869487345218658e-02,9.917927905917167664e-03,1.046154741197824478e-02,1.259918790310621262e-02,1.020286115817725658e-03
3.040200948715209961e+00,1.034950278699398041e-02,4.465160071849822998e-01,9.882304817438125610e-03,1.025918778032064438e-02,9.943289682269096375e-03,1.031328924000263214e-02,1.077028177678585052e-02,1.020664698444306850e-03
3.065326690673828125e+00,1.022769324481487274e-02,4.467561244964599609e-01,9.929961524903774261e-03,1.023300550878047943e-02,9.963313117623329163e-03,1.020010188221931458e-02,9.663670323789119720e-03,1.019840594381093979e-03
3.090452194213867188e+00,1.014832779765129089e-02,4.469142556190490723e-01,9.968037717044353485e-03,1.020940579473972321e-02,9.979227557778358459e-03,1.011222042143344879e-02,8.942618034780025482e-03,1.018405542708933353e-03
3.115577936172485352e+00,1.009623892605304718e-02,4.470186829566955566e-01,9.997359476983547211e-03,1.018893159925937653e-02,9.991440922021865845e-03,1.004600711166858673e-02,8.468065410852432251e-03,1.016763038933277130e-03
3.140703439712524414e+00,1.005885284394025803e-02,4.470942616462707520e-01,1.002146769315004349e-02,1.016958430409431458e-02,1.000142656266689301e-02,9.992402978241443634e-03,8.125555701553821564e-03,1.015022979117929935e-03
3.165829181671142578e+00,1.002054568380117416e-02,4.471718966960906982e-01,1.024531014263629913e-02,1.008882746100425720e-02,1.003841683268547058e-02,9.798781946301460266e-03,5.898746196180582047e-03,1.063744188286364079e-03
3.190954685211181641e+00,1.033670362085103989e-02,4.465394616127014160e-01,1.605260744690895081e-02,1.061883196234703064e-02,1.065764296799898148e-02,7.499117869883775711e-03,1.239660545252263546e-03,1.147943958640098572e-01
3.216080427169799805e+00,9.993956424295902252e-03,4.472262561321258545e-01,1.148813404142856598e-02,1.045415736734867096e-02,1.054913550615310669e-02,7.771652657538652420e-03,3.457775106653571129e-03,2.120591932907700539e-03
3.241205930709838867e+00,9.873813018202781677e-03,4.474822580814361572e-01,1.059081684798002243e-02,1.011488772928714752e-02,1.035840436816215515e-02,8.365395478904247284e-03,5.947394762188196182e-03,1.207385910674929619e-03
3.266331672668457031e+00,9.877668693661689758e-03,4.474758207798004150e-01,1.036225352436304092e-02,9.984015487134456635e-03,1.022550370544195175e-02,8.871088735759258270e-03,6.546369288116693497e-03,1.034142216667532921e-03
3.291457176208496094e+00,9.898123331367969513e-03,4.474323391914367676e-01,1.026545651257038116e-02,9.937293827533721924e-03,1.014761719852685928e-02,9.214238263666629791e-03,6.710451096296310425e-03,9.836589451879262924e-04
3.316582918167114258e+00,9.916150011122226715e-03,4.473937451839447021e-01,1.020620297640562057e-02,9.923713281750679016e-03,1.010073162615299225e-02,9.441761299967765808e-03,6.895067170262336731e-03,9.688280406408011913e-04
3.341708660125732422e+00,9.928957559168338776e-03,4.473660588264465332e-01,1.016794051975011826e-02,9.924120269715785980e-03,1.007399242371320724e-02,9.579560719430446625e-03,7.100143469870090485e-03,9.671512525528669357e-04
3.366834163665771484e+00,9.938502684235572815e-03,4.473455548286437988e-01,1.014074776321649551e-02,9.929459542036056519e-03,1.005721278488636017e-02,9.669330902397632599e-03,7.305729668587446213e-03,9.697455679997801781e-04
