time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7
1.708542704582214355e+00,2.371622025966644287e-01,2.486657202243804932e-01,6.194892921485006809e-04,5.692981481552124023e-01,9.934357643127441406e+00,6.050675801816396415e-05,1.117244755732826889e-04,6.113866675150347874e-06
1.733668327331542969e+00,2.320409268140792847e-01,2.506414055824279785e-01,6.349810282699763775e-04,5.585915446281433105e-01,9.934584617614746094e+00,6.068557195249013603e-05,1.017006215988658369e-04,6.116538315836805850e-06
1.758793950080871582e+00,2.274886220693588257e-01,2.517360150814056396e-01,6.315618520602583885e-04,5.379227995872497559e-01,9.934745788574218750e+00,6.098835365264676511e-05,9.526284702587872744e-05,6.119616045907605439e-06
1.783919572830200195e+00,2.228530049324035645e-01,2.527174353599548340e-01,6.116379518061876297e-04,5.181773900985717773e-01,9.934916496276855469e+00,6.134412979008629918e-05,9.077584400074556470e-05,6.123141702119028196e-06
1.809045195579528809e+00,2.182662189006805420e-01,2.534983754158020020e-01,5.829622969031333923e-04,4.993943870067596436e-01,9.935096740722656250e+00,6.175921589601784945e-05,8.746918319957330823e-05,6.127051619841950014e-06
1.834170818328857422e+00,2.135328203439712524e-01,2.543216645717620850e-01,5.514924996532499790e-04,4.812715947628021240e-01,9.935285568237304688e+00,6.225998367881402373e-05,8.493164932588115335e-05,6.131307600298896432e-06
1.859296441078186035e+00,2.087891548871994019e-01,2.551607489585876465e-01,5.206509958952665329e-04,4.638966619968414307e-01,9.935503959655761719e+00,6.286465941229835153e-05,8.292264828924089670e-05,6.135835974419023842e-06
1.884422063827514648e+00,2.040885537862777710e-01,2.560461163520812988e-01,4.921862855553627014e-04,4.472061991691589355e-01,9.935731887817382812e+00,6.360494444379583001e-05,8.129472553264349699e-05,6.140608093119226396e-06
1.909547686576843262e+00,1.995006352663040161e-01,2.570194900035858154e-01,4.670204070862382650e-04,4.312169849872589111e-01,9.935997009277343750e+00,6.452609522966668010e-05,7.995032501639798284e-05,6.145594852569047362e-06
1.934673309326171875e+00,1.950006037950515747e-01,2.581892907619476318e-01,4.449674743227660656e-04,4.158521890640258789e-01,9.936290740966796875e+00,6.570657569682225585e-05,7.882396312197670341e-05,6.150765329948626459e-06
1.959799051284790039e+00,1.906720846891403198e-01,2.595961689949035645e-01,4.259461420588195324e-04,4.010726511478424072e-01,9.936631202697753906e+00,6.726451829308643937e-05,7.786790229147300124e-05,6.156104518595384434e-06
1.984924674034118652e+00,1.865203678607940674e-01,2.614133059978485107e-01,4.093748866580426693e-04,3.868228793144226074e-01,9.937019348144531250e+00,6.941884930711239576e-05,7.704881863901391625e-05,6.161587407405022532e-06
2.010050296783447266e+00,1.827113777399063110e-01,2.639016211032867432e-01,3.948792582377791405e-04,3.730875551700592041e-01,9.937389373779296875e+00,7.257980905706062913e-05,7.634084613528102636e-05,6.167159426695434377e-06
2.035175800323486328e+00,1.794430017471313477e-01,2.675437629222869873e-01,3.822329163085669279e-04,3.598368167877197266e-01,9.937494277954101562e+00,7.765897316858172417e-05,7.572525646537542343e-05,6.172836037876550108e-06
2.060301542282104492e+00,1.770639419555664062e-01,2.732373774051666260e-01,3.714818449225276709e-04,3.470203876495361328e-01,9.935712814331054688e+00,8.714950672583654523e-05,7.518926577176898718e-05,6.178565854497719556e-06
2.085427045822143555e+00,1.774882972240447998e-01,2.858354747295379639e-01,3.642375231720507145e-04,3.341685831546783447e-01,9.918340682983398438e+00,1.109348741010762751e-04,7.473229925381019711e-05,6.184326139191398397e-06
2.110552787780761719e+00,1.783941388130187988e-01,3.158077895641326904e-01,3.652799641713500023e-04,3.089899718761444092e-01,9.511495590209960938e+00,2.651145623531192541e-04,7.442237983923405409e-05,6.189746272866614163e-06
