time,theta_0,theta_1
9.966610717773437500e+01,9.107729911804199219e+00,1.049460992217063904e-01
1.001669464111328125e+02,9.110220909118652344e+00,1.035798713564872742e-01
1.006677780151367188e+02,9.112383842468261719e+00,1.024396792054176331e-01
1.011686172485351562e+02,9.114282608032226562e+00,1.014793589711189270e-01
1.016694488525390625e+02,9.115962982177734375e+00,1.006640270352363586e-01
1.021702804565429688e+02,9.117463111877441406e+00,9.996647387742996216e-02
1.026711196899414062e+02,9.118814468383789062e+00,9.936475008726119995e-02
1.031719512939453125e+02,9.120032310485839844e+00,9.884242713451385498e-02
1.036727905273437500e+02,9.121144294738769531e+00,9.838539361953735352e-02
1.041736221313476562e+02,9.122155189514160156e+00,9.798406064510345459e-02
1.046744537353515625e+02,9.123082160949707031e+00,9.762910753488540649e-02
1.051752929687500000e+02,9.123933792114257812e+00,9.731341153383255005e-02
1.056761245727539062e+02,9.124716758728027344e+00,9.703187644481658936e-02
1.061769638061523438e+02,9.125436782836914062e+00,9.677989780902862549e-02
1.066777954101562500e+02,9.126099586486816406e+00,9.655383229255676270e-02
1.071786346435546875e+02,9.126711845397949219e+00,9.634979814291000366e-02
1.076794662475585938e+02,9.127274513244628906e+00,9.616598486900329590e-02
1.081802978515625000e+02,9.127794265747070312e+00,9.599956125020980835e-02
1.086811370849609375e+02,9.128271102905273438e+00,9.584903717041015625e-02
1.091819686889648438e+02,9.128711700439453125e+00,9.571266919374465942e-02
1.096828079223632812e+02,9.129115104675292969e+00,9.558890759944915771e-02
1.101836395263671875e+02,9.129484176635742188e+00,9.547717124223709106e-02
1.106844711303710938e+02,9.129823684692382812e+00,9.537550806999206543e-02
1.111853103637695312e+02,9.130134582519531250e+00,9.528276324272155762e-02
1.116861419677734375e+02,9.130418777465820312e+00,9.519973397254943848e-02
1.121869812011718750e+02,9.130680084228515625e+00,9.512338042259216309e-02
1.126878128051757812e+02,9.130916595458984375e+00,9.505480527877807617e-02
1.131886444091796875e+02,9.131133079528808594e+00,9.499274194240570068e-02
1.136894836425781250e+02,9.131329536437988281e+00,9.493623673915863037e-02
1.141903152465820312e+02,9.131508827209472656e+00,9.488523006439208984e-02
1.146911544799804688e+02,9.131671905517578125e+00,9.483895450830459595e-02
1.151919860839843750e+02,9.131818771362304688e+00,9.479726850986480713e-02
1.156928176879882812e+02,9.131954193115234375e+00,9.475956857204437256e-02
1.161936569213867188e+02,9.132075309753417969e+00,9.472538530826568604e-02
1.166944885253906250e+02,9.132184982299804688e+00,9.469487518072128296e-02
1.171953277587890625e+02,9.132285118103027344e+00,9.466712176799774170e-02
