time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10
1.542570953369140625e+02,5.058837413787841797e+00,5.327754974365234375e+00,5.618806362152099609e+00,4.191931724548339844e+00,6.169904232025146484e+00,5.323159694671630859e+00,4.955805778503417969e+00,4.787824630737304688e+00,4.937139511108398438e+00,3.996649026870727539e+00,4.953719615936279297e+00
1.547579345703125000e+02,5.045364379882812500e+00,5.254364967346191406e+00,5.480879783630371094e+00,4.390113353729248047e+00,6.170029640197753906e+00,5.323196887969970703e+00,4.966916561126708984e+00,4.842315196990966797e+00,4.968304634094238281e+00,3.996523857116699219e+00,4.953705787658691406e+00
1.552587585449218750e+02,5.034983634948730469e+00,5.197234630584716797e+00,5.372985363006591797e+00,4.535770893096923828e+00,6.170138835906982422e+00,5.323225498199462891e+00,4.975317478179931641e+00,4.882920265197753906e+00,4.987662315368652344e+00,3.996412754058837891e+00,4.953691482543945312e+00
1.557595977783203125e+02,5.026998519897460938e+00,5.152911186218261719e+00,5.288905620574951172e+00,4.644302845001220703e+00,6.170235633850097656e+00,5.323258399963378906e+00,4.981712818145751953e+00,4.913524627685546875e+00,5.000085830688476562e+00,3.996315002441406250e+00,4.953680992126464844e+00
1.562604370117187500e+02,5.020834445953369141e+00,5.118466854095458984e+00,5.223370552062988281e+00,4.725898742675781250e+00,6.170323848724365234e+00,5.323282718658447266e+00,4.986555576324462891e+00,4.936560153961181641e+00,5.007907390594482422e+00,3.996227025985717773e+00,4.953672885894775391e+00
1.567612762451171875e+02,5.016077518463134766e+00,5.091727733612060547e+00,5.172384262084960938e+00,4.787824630737304688e+00,6.170400142669677734e+00,5.323305130004882812e+00,4.990221023559570312e+00,4.953936100006103516e+00,5.012755870819091797e+00,3.996149778366088867e+00,4.953663349151611328e+00
1.572621002197265625e+02,5.012400150299072266e+00,5.070961952209472656e+00,5.132746219635009766e+00,4.835152149200439453e+00,6.170469284057617188e+00,5.323323249816894531e+00,4.992982387542724609e+00,4.967002391815185547e+00,5.015557289123535156e+00,3.996081590652465820e+00,4.953652858734130859e+00
1.577629394531250000e+02,5.009562015533447266e+00,5.054868698120117188e+00,5.102015972137451172e+00,4.871592044830322266e+00,6.170530796051025391e+00,5.323342800140380859e+00,4.995065212249755859e+00,4.976842403411865234e+00,5.017045021057128906e+00,3.996019124984741211e+00,4.953649044036865234e+00
1.582637786865234375e+02,5.007366180419921875e+00,5.042372703552246094e+00,5.078174114227294922e+00,4.899722576141357422e+00,6.170583248138427734e+00,5.323358535766601562e+00,4.996618747711181641e+00,4.984180450439453125e+00,5.017564773559570312e+00,3.995965003967285156e+00,4.953642845153808594e+00
1.587646026611328125e+02,5.005667686462402344e+00,5.032675743103027344e+00,5.059702873229980469e+00,4.921519756317138672e+00,6.170630455017089844e+00,5.323369503021240234e+00,4.997768402099609375e+00,4.989619255065917969e+00,5.017432212829589844e+00,3.995917081832885742e+00,4.953634262084960938e+00
1.592654418945312500e+02,5.004355907440185547e+00,5.025168418884277344e+00,5.045443534851074219e+00,4.938497543334960938e+00,6.170674324035644531e+00,5.323384761810302734e+00,4.998619079589843750e+00,4.993638038635253906e+00,5.016901969909667969e+00,3.995875358581542969e+00,4.953631877899169922e+00
1.597662811279296875e+02,5.003341674804687500e+00,5.019348621368408203e+00,5.034427642822265625e+00,4.951717376708984375e+00,6.170711517333984375e+00,5.323396682739257812e+00,4.999236583709716797e+00,4.996558189392089844e+00,5.016089439392089844e+00,3.995838165283203125e+00,4.953627109527587891e+00
1.602671051025390625e+02,5.002557277679443359e+00,5.014840126037597656e+00,5.025938034057617188e+00,4.962038040161132812e+00,6.170743465423583984e+00,5.323402881622314453e+00,4.999678134918212891e+00,4.998649120330810547e+00,5.015102386474609375e+00,3.995804548263549805e+00,4.953619956970214844e+00
1.607679443359375000e+02,5.001953601837158203e+00,5.011358261108398438e+00,5.019423961639404297e+00,4.970122337341308594e+00,6.170773983001708984e+00,5.323414325714111328e+00,4.999991416931152344e+00,5.000128746032714844e+00,5.014046669006347656e+00,3.995775222778320312e+00,4.953621387481689453e+00
1.612687835693359375e+02,5.001487731933593750e+00,5.008666515350341797e+00,5.014426708221435547e+00,4.976449012756347656e+00,6.170799732208251953e+00,5.323420524597167969e+00,5.000205993652343750e+00,5.001138687133789062e+00,5.012953758239746094e+00,3.995748758316040039e+00,4.953618049621582031e+00
1.617696228027343750e+02,5.001128673553466797e+00,5.006589889526367188e+00,5.010609626770019531e+00,4.981413841247558594e+00,6.170823097229003906e+00,5.323429107666015625e+00,5.000347137451171875e+00,5.001803874969482422e+00,5.011865139007568359e+00,3.995725393295288086e+00,4.953614234924316406e+00
1.622704467773437500e+02,5.000852584838867188e+00,5.004988193511962891e+00,5.007701396942138672e+00,4.985307216644287109e+00,6.170844554901123047e+00,5.323431015014648438e+00,5.000434398651123047e+00,5.002212524414062500e+00,5.010807991027832031e+00,3.995704889297485352e+00,4.953610897064208984e+00
1.627712860107421875e+02,5.000641822814941406e+00,5.003759860992431641e+00,5.005501270294189453e+00,4.988372325897216797e+00,6.170861244201660156e+00,5.323439598083496094e+00,5.000483989715576172e+00,5.002439022064208984e+00,5.009807586669921875e+00,3.995686531066894531e+00,4.953611850738525391e+00
1.632721252441406250e+02,5.000479698181152344e+00,5.002816200256347656e+00,5.003841400146484375e+00,4.990781307220458984e+00,6.170876979827880859e+00,5.323444366455078125e+00,5.000504493713378906e+00,5.002530574798583984e+00,5.008864402770996094e+00,3.995670557022094727e+00,4.953608989715576172e+00
