time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6
6.840000000000000000e+03,4.248792829457670450e-04,4.931052681058645248e-04,4.294911923352628946e-04,8.321743807755410671e-04,7.027442188700661063e-05,1.053378036885987967e-05,1.885925303213298321e-04
6.900000000000000000e+03,4.206198791507631540e-04,4.931034054607152939e-04,4.372648836579173803e-04,7.985247648321092129e-04,7.027289393590763211e-05,1.053402957040816545e-05,1.915806351462379098e-04
6.960000000000000000e+03,4.158463852945715189e-04,4.931020084768533707e-04,4.452337161637842655e-04,7.675990927964448929e-04,7.027163519524037838e-05,1.053427149599883705e-05,1.945886906469240785e-04
7.020000000000000000e+03,4.104912222828716040e-04,4.931000876240432262e-04,4.534090985544025898e-04,7.390949176624417305e-04,7.027079118415713310e-05,1.053450159815838560e-05,1.976203056983649731e-04
7.080000000000000000e+03,1.012081725093594287e-06,4.930987488478422165e-04,1.192530542612075806e-01,1.390235593135003000e-05,6.451408989960327744e-05,1.053472351486561820e-05,3.465708345174789429e-03
7.140000000000000000e+03,1.015180941976723261e-06,4.930960712954401970e-04,1.191724389791488647e-01,1.491265629738336429e-05,6.660793587798252702e-05,1.053510368365095928e-05,3.455671947449445724e-03
7.200000000000000000e+03,1.150684738604468293e-06,4.930932773277163506e-04,1.172241866588592529e-01,2.370132096984889358e-05,6.756394577678292990e-05,1.053547566698398441e-05,3.323144745081663132e-03
7.260000000000000000e+03,4.495736793614923954e-04,4.930907161906361580e-04,4.267990298103541136e-04,3.394415252842009068e-04,7.011069101281464100e-05,1.053583673638058826e-05,3.781292180065065622e-04
7.320000000000000000e+03,4.481264331843703985e-04,4.930895520374178886e-04,5.513483774848282337e-04,4.516023036558181047e-04,7.016227755229920149e-05,1.053600681188981980e-05,2.626708010211586952e-04
7.380000000000000000e+03,4.157403018325567245e-04,4.930474678985774517e-04,4.046238027513027191e-03,7.667529280297458172e-05,7.034763257252052426e-05,1.054191761795664206e-05,9.711424354463815689e-04
7.440000000000000000e+03,4.144238773733377457e-04,4.930477007292211056e-04,6.700601079501211643e-04,4.098000645171850920e-04,7.050216663628816605e-05,1.054184394888579845e-05,2.846350835170596838e-04
7.500000000000000000e+03,4.094826290383934975e-04,4.930483992211520672e-04,6.847696495242416859e-04,4.017413884866982698e-04,7.049290434224531054e-05,1.054176573234144598e-05,2.902480482589453459e-04
7.560000000000000000e+03,4.039907071273773909e-04,4.930488648824393749e-04,6.995181902311742306e-04,3.940562310162931681e-04,7.048410770948976278e-05,1.054169115377590060e-05,2.960726560559123755e-04
7.620000000000000000e+03,3.978825698141008615e-04,4.930490977130830288e-04,7.141522364690899849e-04,3.867272753268480301e-04,7.047589315334334970e-05,1.054162748914677650e-05,3.021222073584794998e-04
7.680000000000000000e+03,1.044106056724558584e-06,4.930829745717346668e-04,1.192368939518928528e-01,1.508011882833670825e-05,6.816471432102844119e-05,1.053693358699092641e-05,3.458871738985180855e-03
7.740000000000000000e+03,1.607384433555125725e-06,4.930813447572290897e-04,1.146706417202949524e-01,2.950526322820223868e-05,6.853347440483048558e-05,1.053719734045444056e-05,3.181232139468193054e-03
7.800000000000000000e+03,4.454012960195541382e-04,4.930794239044189453e-04,4.209220933262258768e-04,3.487060894258320332e-04,7.020627526799216866e-05,1.053745108947623521e-05,3.616049943957477808e-04
7.860000000000000000e+03,4.437615280039608479e-04,4.930784343741834164e-04,4.419121542014181614e-04,3.511070099193602800e-04,7.021498458925634623e-05,1.053756568580865860e-05,3.557699383236467838e-04
7.920000000000000000e+03,4.419606702867895365e-04,4.930777358822524548e-04,4.238342808093875647e-04,3.462914610281586647e-04,7.022337376838549972e-05,1.053767573466757312e-05,3.657230699900537729e-04
7.980000000000000000e+03,4.399872850626707077e-04,4.930768627673387527e-04,4.013359721284359694e-04,3.420034190639853477e-04,7.023199577815830708e-05,1.053778123605297878e-05,3.766199806705117226e-04
8.040000000000000000e+03,1.138408492806775030e-06,4.930761642754077911e-04,1.189513653516769409e-01,1.737839738780166954e-05,6.875320832477882504e-05,1.053788400895427912e-05,3.437271108850836754e-03
8.100000000000000000e+03,4.431730776559561491e-04,4.930747090838849545e-04,8.569710887968540192e-03,6.260902591748163104e-05,7.006756641203537583e-05,1.053810137818800285e-05,1.321903895586729050e-03
8.160000000000000000e+03,4.393855342641472816e-04,4.930740105919539928e-04,3.003166930284351110e-04,3.141752094961702824e-04,7.026014645816758275e-05,1.053820687957340851e-05,4.391932452563196421e-04
8.220000000000000000e+03,4.372253024484962225e-04,4.930733121000230312e-04,3.092773258686065674e-04,3.001096192747354507e-04,7.026384264463558793e-05,1.053829782904358581e-05,4.384414060041308403e-04
8.280000000000000000e+03,4.348770016804337502e-04,4.930726136080920696e-04,3.756812948267906904e-04,2.842860412783920765e-04,7.026673119980841875e-05,1.053838423104025424e-05,4.334524564910680056e-04
8.340000000000000000e+03,1.055632196766964626e-06,4.930719151161611080e-04,1.193834468722343445e-01,1.402729139954317361e-05,6.898592982906848192e-05,1.053846608556341380e-05,3.468878101557493210e-03
8.400000000000000000e+03,1.092598040486336686e-06,4.930707509629428387e-04,1.193231195211410522e-01,1.465800869482336566e-05,6.909785588504746556e-05,1.053864343703025952e-05,3.463942324742674828e-03
8.460000000000000000e+03,1.260415842807560693e-06,4.930692957714200020e-04,1.189018040895462036e-01,1.796719698177184910e-05,6.919567385921254754e-05,1.053881987900240347e-05,3.432615892961621284e-03
8.520000000000000000e+03,4.414351715240627527e-04,4.930681316182017326e-04,5.785726942121982574e-03,6.771764310542494059e-05,7.015677692834287882e-05,1.053898995451163501e-05,1.186862005852162838e-03
8.580000000000000000e+03,4.376848519314080477e-04,4.930674331262707710e-04,5.731160636059939861e-04,2.172952372347936034e-04,7.027330138953402638e-05,1.053906544257188216e-05,4.409014654811471701e-04
8.640000000000000000e+03,4.355533164925873280e-04,4.930672002956271172e-04,6.226445548236370087e-04,2.101811987813562155e-04,7.027493847999721766e-05,1.053912728821160272e-05,4.429824184626340866e-04
8.700000000000000000e+03,4.332420940045267344e-04,4.930667346343398094e-04,6.711307796649634838e-04,2.035273500951007009e-04,7.027641549939289689e-05,1.053918913385132328e-05,4.453972796909511089e-04
8.760000000000000000e+03,1.097030917662777938e-06,4.930660361424088478e-04,1.193825379014015198e-01,1.415588485542684793e-05,6.933262193342670798e-05,1.053924734151223674e-05,3.468308830633759499e-03
8.820000000000000000e+03,1.160499550678650849e-06,4.930648719891905785e-04,1.193012744188308716e-01,1.500501912232721224e-05,6.939012382645159960e-05,1.053938922268571332e-05,3.461842192336916924e-03
8.880000000000000000e+03,1.730507619868149050e-06,4.930639406666159630e-04,1.180419996380805969e-01,2.263017813675105572e-05,6.945260247448459268e-05,1.053952928486978635e-05,3.371706232428550720e-03
8.940000000000000000e+03,4.355332057457417250e-04,4.930630093440413475e-04,1.246136846020817757e-03,1.162262196885421872e-04,7.024951628409326077e-05,1.053966479958035052e-05,6.063870969228446484e-04
9.000000000000000000e+03,4.332107200752943754e-04,4.930622526444494724e-04,7.760822190903127193e-04,1.732130185700953007e-04,7.028463005553930998e-05,1.053971300279954448e-05,4.649746697396039963e-04
9.060000000000000000e+03,4.307775234337896109e-04,4.930620198138058186e-04,8.170295623131096363e-04,1.684703456703573465e-04,7.028562686173245311e-05,1.053975574905052781e-05,4.691283684223890305e-04
9.120000000000000000e+03,4.281375149730592966e-04,4.930615541525185108e-04,8.566880715079605579e-04,1.639660622458904982e-04,7.028655090834945440e-05,1.053979849530151114e-05,4.735596012324094772e-04
9.180000000000000000e+03,4.252704384271055460e-04,4.930613213218748569e-04,8.950601331889629364e-04,1.596752408659085631e-04,7.028727850411087275e-05,1.053984033205779269e-05,4.782804462593048811e-04
9.240000000000000000e+03,1.135898855864070356e-06,4.930608556605875492e-04,1.193844750523567200e-01,1.422906916559441015e-05,6.954769196454435587e-05,1.053988034982467070e-05,3.468160051852464676e-03
9.300000000000000000e+03,1.221538582285575103e-06,4.930600989609956741e-04,1.192955896258354187e-01,1.518014141765888780e-05,6.958137964829802513e-05,1.053998767019947991e-05,3.461091080680489540e-03
9.360000000000000000e+03,2.260650262542185374e-06,4.930594586767256260e-04,1.174308434128761292e-01,2.521982059988658875e-05,6.962566840229555964e-05,1.054009680956369266e-05,3.329628612846136093e-03
9.420000000000000000e+03,4.258788540028035641e-04,4.930582363158464432e-04,1.185990753583610058e-03,1.201279301312752068e-04,7.028038089629262686e-05,1.054020140145439655e-05,5.770183634012937546e-04
9.480000000000000000e+03,4.228068864904344082e-04,4.930580034852027893e-04,9.861966827884316444e-04,1.420634798705577850e-04,7.029482367215678096e-05,1.054023323376895860e-05,5.048755556344985962e-04
9.540000000000000000e+03,4.195259825792163610e-04,4.930580034852027893e-04,1.023059478029608727e-03,1.386814692523330450e-04,7.029513653833419085e-05,1.054026233759941533e-05,5.114078521728515625e-04
9.600000000000000000e+03,4.159566306043416262e-04,4.930575378239154816e-04,1.059541944414377213e-03,1.354405540041625500e-04,7.029516564216464758e-05,1.054028962244046852e-05,5.183006869629025459e-04
9.660000000000000000e+03,4.120710946153849363e-04,4.930573049932718277e-04,1.095784013159573078e-03,1.323291071457788348e-04,7.029507105471566319e-05,1.054031690728152171e-05,5.255683790892362595e-04
9.720000000000000000e+03,4.078387864865362644e-04,4.930568393319845200e-04,1.131989061832427979e-03,1.293400418944656849e-04,7.029475091258063912e-05,1.054034419212257490e-05,5.332314758561551571e-04
9.780000000000000000e+03,4.032257129438221455e-04,4.930563736706972122e-04,1.168333226814866066e-03,1.264641177840530872e-04,7.029429252725094557e-05,1.054036965797422454e-05,5.413190810941159725e-04
9.840000000000000000e+03,1.246122337761335075e-06,4.930563736706972122e-04,1.193232312798500061e-01,1.501865153841208667e-05,6.971338734729215503e-05,1.054039421433117241e-05,3.463186090812087059e-03
9.900000000000000000e+03,1.776615363269229420e-06,4.930556751787662506e-04,1.186499968171119690e-01,2.025507455982733518e-05,6.973968265810981393e-05,1.054047424986492842e-05,3.412638325244188309e-03
9.960000000000000000e+03,4.016732273157685995e-04,4.930549766868352890e-04,3.573899623006582260e-03,7.652756175957620144e-05,7.026703679002821445e-05,1.054055064741987735e-05,1.011221902444958687e-03
1.002000000000000000e+04,3.954358398914337158e-04,4.930547438561916351e-04,1.268882770091295242e-03,1.175253637484274805e-04,7.029702101135626435e-05,1.054057338478742167e-05,5.721062771044671535e-04
1.008000000000000000e+04,3.897331480402499437e-04,4.930542781949043274e-04,1.309733721427619457e-03,1.150585521827451885e-04,7.029600237729027867e-05,1.054059612215496600e-05,5.823559476993978024e-04
1.014000000000000000e+04,1.444424356122908648e-06,4.930539871565997601e-04,1.191660687327384949e-01,1.663929469941649586e-05,6.978151213843375444e-05,1.054061431204900146e-05,3.450903343036770821e-03
1.020000000000000000e+04,3.607200051192194223e-04,4.930535797029733658e-04,7.256557792425155640e-02,4.883352085016667843e-05,7.004493818385526538e-05,1.054068161465693265e-05,2.202502917498350143e-03
1.026000000000000000e+04,3.809087211266160011e-04,4.930528812110424042e-04,1.372680766507983208e-03,1.117484280257485807e-04,7.029777043499052525e-05,1.054071890393970534e-05,5.976109532639384270e-04
1.032000000000000000e+04,3.739114035852253437e-04,4.930528812110424042e-04,1.417348394170403481e-03,1.094698964152485132e-04,7.029618427623063326e-05,1.054073527484433725e-05,6.093241390772163868e-04
1.038000000000000000e+04,3.663072420749813318e-04,4.930523573420941830e-04,1.464265980757772923e-03,1.072626255336217582e-04,7.029445259831845760e-05,1.054075255524367094e-05,6.217167247086763382e-04
1.044000000000000000e+04,1.329773454017413314e-06,4.930521245114505291e-04,1.193134486675262451e-01,1.525695734017062932e-05,6.983497587498277426e-05,1.054076892614830285e-05,3.462142776697874069e-03
1.050000000000000000e+04,2.194600256189005449e-06,4.930517170578241348e-04,1.184260547161102295e-01,2.189113729400560260e-05,6.985457730479538441e-05,1.054082531481981277e-05,3.395220963284373283e-03
1.056000000000000000e+04,3.600793424993753433e-04,4.930509603582322598e-04,3.233900293707847595e-03,7.888372783781960607e-05,7.027854735497385263e-05,1.054088170349132270e-05,9.673060849308967590e-04
1.062000000000000000e+04,3.503574698697775602e-04,4.930507275275886059e-04,1.593886874616146088e-03,1.018179900711402297e-04,7.029380503809079528e-05,1.054089625540655106e-05,6.576241576112806797e-04
1.068000000000000000e+04,3.408572811167687178e-04,4.930502618663012981e-04,1.653129002079367638e-03,9.983732888940721750e-05,7.029162952676415443e-05,1.054090807883767411e-05,6.729279994033277035e-04
1.074000000000000000e+04,4.255278327036648989e-06,4.930500290356576443e-04,1.163667514920234680e-01,2.961192694783676416e-05,6.989678513491526246e-05,1.054091990226879716e-05,3.256387310102581978e-03
1.080000000000000000e+04,3.304489655420184135e-04,4.930495633743703365e-04,1.847908133640885353e-03,9.472856618231162429e-05,7.028893014648929238e-05,1.054096901498269290e-05,7.226045127026736736e-04
1.086000000000000000e+04,3.194406745024025440e-04,4.930490977130830288e-04,1.770683098584413528e-03,9.658768249209970236e-05,7.028874097159132361e-05,1.054098265740321949e-05,7.011832785792648792e-04
1.092000000000000000e+04,3.078813606407493353e-04,4.930488648824393749e-04,1.844794955104589462e-03,9.475559636484831572e-05,7.028625987004488707e-05,1.054099266184493899e-05,7.191941840574145317e-04
1.098000000000000000e+04,2.957263786811381578e-04,4.930483992211520672e-04,1.926365192048251629e-03,9.297314682044088840e-05,7.028369873296469450e-05,1.054100357578136027e-05,7.383336196653544903e-04
1.104000000000000000e+04,2.830582961905747652e-04,4.930481663905084133e-04,2.016914309933781624e-03,9.124033385887742043e-05,7.028129766695201397e-05,1.054101539921248332e-05,7.586776628158986568e-04
1.110000000000000000e+04,2.699852338992059231e-04,4.930477007292211056e-04,2.118178643286228180e-03,8.955285011325031519e-05,7.027886749710887671e-05,1.054102631314890459e-05,7.803525659255683422e-04
1.116000000000000000e+04,1.318266981797933113e-06,4.930477007292211056e-04,1.193757131695747375e-01,1.467339370719855651e-05,6.992885755607858300e-05,1.054103722708532587e-05,3.467310220003128052e-03
