time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15
1.083612060546875000e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.444623231887817383e-01,4.457741975784301758e-01,1.002284884452819824e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.066131234169006348e-01,7.204629182815551758e-01
1.093645477294921875e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.444416403770446777e-01,4.457433223724365234e-01,1.002348437905311584e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.066098451614379883e-01,7.205509543418884277e-01
1.103678894042968750e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.444203615188598633e-01,4.457166492938995361e-01,1.002405807375907898e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.066066265106201172e-01,7.206386327743530273e-01
1.113712406158447266e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.443996787071228027e-01,4.456900060176849365e-01,1.002464145421981812e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.066035270690917969e-01,7.207261919975280762e-01
1.123745822906494141e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.443789362907409668e-01,4.456629157066345215e-01,1.002523824572563171e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.066001892089843750e-01,7.208130359649658203e-01
1.133779239654541016e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.443579554557800293e-01,4.456357061862945557e-01,1.002583131194114685e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065972685813903809e-01,7.208999991416931152e-01
1.143812751770019531e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.443372130393981934e-01,4.456040561199188232e-01,1.002650111913681030e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065939903259277344e-01,7.209870815277099609e-01
1.153846168518066406e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.443168282508850098e-01,4.455767273902893066e-01,1.002711206674575806e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065910696983337402e-01,7.210730910301208496e-01
1.163879585266113281e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.442960858345031738e-01,4.455492198467254639e-01,1.002772524952888489e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065877318382263184e-01,7.211593985557556152e-01
1.173913002014160156e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.442756414413452148e-01,4.455215036869049072e-01,1.002834588289260864e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065847516059875488e-01,7.212452888488769531e-01
1.183946514129638672e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.442551374435424805e-01,4.454892277717590332e-01,1.002904474735260010e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065814733505249023e-01,7.213312983512878418e-01
1.193979930877685547e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.442348122596740723e-01,4.454613029956817627e-01,1.002968028187751770e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065784931182861328e-01,7.214164733886718750e-01
1.204013347625732422e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.442145466804504395e-01,4.454332590103149414e-01,1.003031730651855469e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065753936767578125e-01,7.215015292167663574e-01
1.214046859741210938e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.441940426826477051e-01,4.454049170017242432e-01,1.003096252679824829e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065723538398742676e-01,7.215866446495056152e-01
1.224080276489257812e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.441737771034240723e-01,4.453720748424530029e-01,1.003168970346450806e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065693140029907227e-01,7.216712832450866699e-01
1.234113693237304688e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.441536903381347656e-01,4.453434348106384277e-01,1.003234982490539551e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065663337707519531e-01,7.217557430267333984e-01
1.244147109985351562e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.441339612007141113e-01,4.453148543834686279e-01,1.003300994634628296e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065632343292236328e-01,7.218400835990905762e-01
1.254180622100830078e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.441138744354248047e-01,4.452858567237854004e-01,1.003367975354194641e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065601348876953125e-01,7.219240665435791016e-01
1.264214038848876953e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.440936088562011719e-01,4.452524185180664062e-01,1.003443598747253418e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065572142601013184e-01,7.220077514648437500e-01
1.274247455596923828e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.440740585327148438e-01,4.452232122421264648e-01,1.003511548042297363e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065541148185729980e-01,7.220911979675292969e-01
1.284280967712402344e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.440540313720703125e-01,4.451941549777984619e-01,1.003580465912818909e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065512537956237793e-01,7.221745848655700684e-01
1.294314384460449219e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.440343618392944336e-01,4.451647400856018066e-01,1.003649309277534485e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065481543540954590e-01,7.222576737403869629e-01
1.304347801208496094e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.440146327018737793e-01,4.451361000537872314e-01,1.003716886043548584e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065451741218566895e-01,7.223401665687561035e-01
1.314381313323974609e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.439953207969665527e-01,4.451169073581695557e-01,1.003769040107727051e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065421938896179199e-01,7.224224209785461426e-01
1.324414730072021484e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.439755916595458984e-01,4.450975656509399414e-01,1.003820672631263733e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065391540527343750e-01,7.225038409233093262e-01
1.334448146820068359e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.439565777778625488e-01,4.450782239437103271e-01,1.003872379660606384e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065362334251403809e-01,7.225854396820068359e-01
1.344481563568115234e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.439370870590209961e-01,4.450589418411254883e-01,1.003924533724784851e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065333127975463867e-01,7.226666808128356934e-01
1.354515075683593750e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.439177751541137695e-01,4.450392127037048340e-01,1.003977730870246887e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065305113792419434e-01,7.227479219436645508e-01
1.364548492431640625e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.438985228538513184e-01,4.450194835662841797e-01,1.004030779004096985e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065275907516479492e-01,7.228285074234008789e-01
1.374581909179687500e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.438795089721679688e-01,4.449998438358306885e-01,1.004083976149559021e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065245509147644043e-01,7.229091525077819824e-01
1.384615421295166016e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.438603162765502930e-01,4.449796974658966064e-01,1.004137620329856873e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065215706825256348e-01,7.229897379875183105e-01
1.394648838043212891e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.438413619995117188e-01,4.449600577354431152e-01,1.004191711544990540e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065187692642211914e-01,7.230696678161621094e-01
1.404682254791259766e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.438225865364074707e-01,4.449399113655090332e-01,1.004246249794960022e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065159678459167480e-01,7.231497168540954590e-01
1.414715671539306641e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.438033938407897949e-01,4.449197351932525635e-01,1.004300415515899658e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.065129876136779785e-01,7.232295274734497070e-01
